2019-08-18 16:14:48,597 ; DEBUG    ; MainLogger ; spiral_feature_extraction ; Starting feature extraction from archimedean spirals
2019-08-18 16:14:48,599 ; DEBUG    ; MainLogger ; spiral_feature_extraction ; Loading control files
2019-08-18 16:14:48,735 ; DEBUG    ; MainLogger ; spiral_feature_extraction ; Loading ET files 27
2019-08-18 16:14:49,046 ; DEBUG    ; MainLogger ; spiral_feature_extraction ; CT's residual radio calculation 27
2019-08-18 16:14:49,060 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 4.834030647877921e-12
2019-08-18 16:14:49,062 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.406207041340147e-23
2019-08-18 16:14:49,065 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.2095708846628e-24
2019-08-18 16:14:49,067 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,087 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 3.1767284229450486e-11
2019-08-18 16:14:49,089 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 5.459506138084254e-22
2019-08-18 16:14:49,092 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.535204059472717e-23
2019-08-18 16:14:49,095 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,111 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 4.038811914356214e-11
2019-08-18 16:14:49,114 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 6.257605178338828e-22
2019-08-18 16:14:49,117 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.0777845561497434e-23
2019-08-18 16:14:49,119 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,138 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 4.917440289515108e-10
2019-08-18 16:14:49,140 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 7.832020441090563e-20
2019-08-18 16:14:49,143 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 6.510978716509096e-22
2019-08-18 16:14:49,146 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,166 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.2643284912390158e-11
2019-08-18 16:14:49,169 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.075334796318936e-22
2019-08-18 16:14:49,173 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 2.3633866850126155e-24
2019-08-18 16:14:49,175 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,198 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.7659192816561335e-11
2019-08-18 16:14:49,202 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 2.805523869365463e-22
2019-08-18 16:14:49,205 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 8.884658770699715e-24
2019-08-18 16:14:49,208 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,231 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 4.011047961548204e-09
2019-08-18 16:14:49,233 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 7.067848359353108e-18
2019-08-18 16:14:49,235 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 5.6263313103040094e-21
2019-08-18 16:14:49,237 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,291 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.2371765866202707e-09
2019-08-18 16:14:49,293 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 3.1715790844923185e-19
2019-08-18 16:14:49,296 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.3004307381370077e-21
2019-08-18 16:14:49,297 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,320 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 2.941294756965759e-09
2019-08-18 16:14:49,322 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 3.237326676835629e-18
2019-08-18 16:14:49,327 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 5.330389250314026e-21
2019-08-18 16:14:49,330 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,354 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 5.1448789686149945e-12
2019-08-18 16:14:49,356 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.7938479887813308e-23
2019-08-18 16:14:49,359 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.5189327368584502e-24
2019-08-18 16:14:49,362 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,446 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.4103400938994551e-10
2019-08-18 16:14:49,449 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.4808404567612093e-20
2019-08-18 16:14:49,453 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 5.86632075031733e-23
2019-08-18 16:14:49,456 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,498 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.016845989170083e-11
2019-08-18 16:14:49,500 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 8.572843638829663e-23
2019-08-18 16:14:49,503 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 2.7152430475162207e-24
2019-08-18 16:14:49,504 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,525 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.83969017344717e-09
2019-08-18 16:14:49,528 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 6.32471965286225e-19
2019-08-18 16:14:49,531 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.7156769416561012e-21
2019-08-18 16:14:49,533 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,555 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.22359997904584e-11
2019-08-18 16:14:49,557 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 8.235155315537602e-23
2019-08-18 16:14:49,559 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 3.6731694640731125e-24
2019-08-18 16:14:49,560 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
